cid,upc,oid,dt,r_dt,prc,qty,amt,r_qty,r_amt,web_prod_id,GMM_DESC,PARENT_MDSE_DIVN_DESC
10586335,20714008000,1262275386,10/16/2016,,13.5,1,13.5,,,75136,BEAUTY,COSMETICS
15595056,20714008000,CH16800142087,08-10-2016,,13.5,2,27,,,75136,BEAUTY,COSMETICS
10586335,20714008000,1229286984,8/22/2016,,13.5,1,13.5,,,75136,BEAUTY,COSMETICS
15595056,20714008000,1259116053,08-10-2016,,13.5,2,27,,,75136,BEAUTY,COSMETICS
10449345,20714052645,1205027751,03-06-2016,,22,1,22,,,75181,BEAUTY,COSMETICS
10449345,20714052645,1205987010,08-06-2016,,22,1,22,,,75181,BEAUTY,COSMETICS
11640661,20714052621,1189844581,3/20/2016,,22,1,22,,,75181,BEAUTY,COSMETICS
11640661,20714052621,1247643045,9/24/2016,,23,1,23,,,75181,BEAUTY,COSMETICS
10035207,20714052621,1326045120,02-12-2016,,23,1,23,,,75181,BEAUTY,COSMETICS
10035207,20714052621,1326129669,02-12-2016,,23,1,23,,,75181,BEAUTY,COSMETICS
10681688,27131009986,1187803566,10-03-2016,,58,4,232,,,74853,BEAUTY,COSMETICS
10681688,27131009986,1236834576,08-09-2016,,58,2,116,,,74853,BEAUTY,COSMETICS
10681688,27131009986,1205447994,06-06-2016,,58,1,58,,,74853,BEAUTY,COSMETICS
11523908,27131009986,1186647956,03-03-2016,,58,1,58,,,74853,BEAUTY,COSMETICS
11523908,27131009986,1281894636,02-11-2016,,58,1,58,,,74853,BEAUTY,COSMETICS
10648941,602004000000,1261850853,10/15/2016,,36,2,72,,,78014,BEAUTY,COSMETICS
10648941,602004000000,1187817366,09-03-2016,,36,2,72,,,78014,BEAUTY,COSMETICS
12251710,706257000000,1217421591,7/31/2016,,10.38,4,41.52,,,91054,HOME,SOFT HOME
12251710,706257000000,LM16170461022,7/20/2016,,7.97,4,31.88,,,91054,HOME,SOFT HOME
11562755,3145890000000,1368529659,11-01-2017,,30,3,90,,,74598,BEAUTY,COSMETICS
11562755,3145890000000,1369430175,11-01-2017,,30,3,90,,,74598,BEAUTY,COSMETICS
13298279,733003000000,1190303583,3/22/2016,,5.64,2,11.28,,,91055,HOME,SOFT HOME
13298279,733003000000,1209372602,6/30/2016,,7.18,1,7.18,,,91055,HOME,SOFT HOME
11742504,717334000000,1208612921,6/23/2016,,26,1,26,,,94266,BEAUTY,COSMETICS
11742504,717334000000,1252586016,03-10-2016,,26,2,52,,,94266,BEAUTY,COSMETICS
10124674,3145890000000,DB17610991757,1/16/2017,,26,1,26,,,74710,BEAUTY,FRAGRANCES
10124674,3145890000000,1210328804,05-07-2016,,26,2,52,,,74710,BEAUTY,FRAGRANCES
10124674,3145890000000,DB17610240515,06-01-2017,1/15/2017,26,1,26,1,26,74710,BEAUTY,FRAGRANCES
13366305,27131208679,1216959468,7/29/2016,,17,1,17,,,75008,BEAUTY,COSMETICS
13366305,27131208679,JT16821135230,08-12-2016,12/22/2016,17,1,17,1,17,75008,BEAUTY,COSMETICS
11216642,20714015459,1198991023,4/30/2016,,20,1,20,,,75339,BEAUTY,COSMETICS
15373315,20714015459,1202466103,5/17/2016,,20,1,20,,,75339,BEAUTY,COSMETICS
11278046,20714015459,1302929910,11/22/2016,,20,2,40,,,75339,BEAUTY,COSMETICS
15373315,20714015459,1329828165,05-12-2016,,16.02,1,16.02,,,75339,BEAUTY,COSMETICS
10148477,20714015459,1192566205,04-04-2016,,20,1,20,,,75339,BEAUTY,COSMETICS
11216642,20714015459,1336399626,09-12-2016,,20,1,20,,,75339,BEAUTY,COSMETICS
11278046,20714015459,1207890910,6/20/2016,,20,1,20,,,75339,BEAUTY,COSMETICS
10148477,20714015459,1251501639,01-10-2016,,20,3,60,,,75339,BEAUTY,COSMETICS
15429829,47596027417,1262995761,10/18/2016,,5.99,10,59.9,,,84580,HOME,SOFT HOME
15429829,47596027417,1264213617,10/19/2016,,5.09,10,50.9,,,84580,HOME,SOFT HOME
11520801,20714163884,1247857113,9/25/2016,,17,1,17,,,75189,BEAUTY,COSMETICS
11520801,20714163884,1332475800,06-12-2016,,13.67,3,41.01,,,75189,BEAUTY,COSMETICS
10854934,20714045159,1262756964,10/16/2016,,21,2,42,,,75340,BEAUTY,COSMETICS
12564571,20714045159,1247778291,9/26/2016,,21,1,21,,,75340,BEAUTY,COSMETICS
10854934,20714045159,1189611729,3/22/2016,,21,1,21,,,75340,BEAUTY,COSMETICS
12564571,20714045159,1184730091,2/17/2016,,21,1,21,,,75340,BEAUTY,COSMETICS
14469186,83623615660,1356952794,12/26/2016,,4.8,1,4.8,,,93507,CENTER CORE,INTIMATE APPAREL/HOSIERY
14469186,83623615660,1357100712,12/26/2016,,4.8,1,4.8,,,93507,CENTER CORE,INTIMATE APPAREL/HOSIERY
10952211,706257000000,1214643009,7/21/2016,,57.99,1,57.99,,,109745,HOME,SOFT HOME
11549970,706257000000,1329093699,04-12-2016,,45.74,1,45.74,,,109745,HOME,SOFT HOME
11549970,706257000000,1235594094,05-09-2016,,49.29,1,49.29,,,109745,HOME,SOFT HOME
10952211,706257000000,1244583675,9/22/2016,,57.99,1,57.99,,,109745,HOME,SOFT HOME
10463748,17626399463,1198572360,4/27/2016,,30,2,60,,,101262,CENTER CORE,INTIMATE APPAREL/HOSIERY
10463748,17626399463,1233906192,02-09-2016,,8,2,16,,,101262,CENTER CORE,INTIMATE APPAREL/HOSIERY
10463748,17626399463,1207492415,6/17/2016,,15.99,2,31.98,,,101262,CENTER CORE,INTIMATE APPAREL/HOSIERY
10463748,17626399463,1182204727,05-02-2016,,15,2,30,,,101262,CENTER CORE,INTIMATE APPAREL/HOSIERY
10463748,17626399463,1185466016,2/24/2016,,7.5,2,15,,,101262,CENTER CORE,INTIMATE APPAREL/HOSIERY
10463748,17626399463,1332144168,05-12-2016,,28,2,56,,,101262,CENTER CORE,INTIMATE APPAREL/HOSIERY
11892055,17626393706,1202536852,5/17/2016,,16.99,1,16.99,,,101262,CENTER CORE,INTIMATE APPAREL/HOSIERY
11892055,17626393706,1204218001,5/30/2016,,12.5,1,12.5,,,101262,CENTER CORE,INTIMATE APPAREL/HOSIERY
12274851,773602000000,1202981103,5/22/2016,,27,1,27,,,106402,BEAUTY,COSMETICS
12274851,773602000000,1221395022,06-08-2016,,28,1,28,,,106402,BEAUTY,COSMETICS
10270739,773602000000,1184489634,2/16/2016,,27,1,27,,,106402,BEAUTY,COSMETICS
10270739,773602000000,1230988248,8/27/2016,,28,1,28,,,106402,BEAUTY,COSMETICS
11319637,27131988083,1231012632,8/26/2016,,25,2,50,,,114634,BEAUTY,COSMETICS
11341803,27131988083,1372647969,1/16/2017,,25,1,25,,,114634,BEAUTY,COSMETICS
11319637,27131988083,1207456732,6/17/2016,,25,2,50,,,114634,BEAUTY,COSMETICS
11341803,27131988083,1196888535,4/19/2016,,25,1,25,,,114634,BEAUTY,COSMETICS
11319637,27131988083,1205515260,06-06-2016,,25,1,25,,,114634,BEAUTY,COSMETICS
11319637,27131988083,1360221933,02-01-2017,,25,2,50,,,114634,BEAUTY,COSMETICS
13000411,773602000000,1225450092,8/16/2016,,27,1,27,,,106326,BEAUTY,COSMETICS
13000411,773602000000,1325994642,01-12-2016,,27,1,27,,,106326,BEAUTY,COSMETICS
10874350,3614270000000,1369498728,12-01-2017,,47,1,47,,,106865,BEAUTY,COSMETICS
10874350,3614270000000,1207332359,6/14/2016,,47,1,47,,,106865,BEAUTY,COSMETICS
10305026,3614270000000,1232093562,8/30/2016,,47,1,47,,,106865,BEAUTY,COSMETICS
10305026,3614270000000,1198367951,4/28/2016,,47,1,47,,,106865,BEAUTY,COSMETICS
13535077,718746000000,1321298616,11/28/2016,12/20/2016,87.99,1,87.99,1,87.99,114613,MENS & KIDS,TOTAL MENS
13535077,718746000000,1321776777,11/28/2016,12/20/2016,87.99,1,87.99,1,87.99,114613,MENS & KIDS,TOTAL MENS
10791405,27131306016,1188529542,3/14/2016,,32,1,32,,,118491,BEAUTY,COSMETICS
10791405,27131306016,1302478125,11/20/2016,,32,1,32,,,118491,BEAUTY,COSMETICS
15272552,27131306016,1364209356,07-01-2017,,32,1,32,,,118491,BEAUTY,COSMETICS
15272552,27131306016,1194598015,12-04-2016,,32,1,32,,,118491,BEAUTY,COSMETICS
12291747,824973000000,1184885492,2/20/2016,,149.99,1,149.99,,,141429,MENS & KIDS,TOTAL MENS
12291747,824973000000,1185446146,2/24/2016,2/26/2016,131.24,1,131.24,1,131.24,141429,MENS & KIDS,TOTAL MENS
13114717,604079000000,1200897420,08-05-2016,,49,1,49,,,131853,BEAUTY,COSMETICS
14805348,604079000000,1252699623,02-10-2016,,49,1,49,,,131853,BEAUTY,COSMETICS
14805348,604079000000,1207466710,6/17/2016,,49,1,49,,,131853,BEAUTY,COSMETICS
14331794,604079000000,1182536629,07-02-2016,,49,1,49,,,131853,BEAUTY,COSMETICS
13114717,604079000000,1185048460,2/21/2016,,49,1,49,,,131853,BEAUTY,COSMETICS
14331794,604079000000,1370877237,1/15/2017,,49,1,49,,,131853,BEAUTY,COSMETICS
12550647,27131969754,1185423347,2/23/2016,,38,1,38,,,147374,BEAUTY,COSMETICS
12550647,27131969754,1247468031,9/25/2016,,39.5,1,39.5,,,147374,BEAUTY,COSMETICS
12157620,75338769820,1319882334,11/28/2016,12/20/2016,16.79,1,16.79,1,16.79,153585,MENS & KIDS,TOTAL MENS
12157620,75338769820,1327480461,03-12-2016,,14.69,1,14.69,,,153585,MENS & KIDS,TOTAL MENS
11344082,709271000000,1313949903,11/26/2016,12/19/2016,45.99,1,45.99,1,45.99,160811,HOME,SOFT HOME
11447380,709271000000,1358368281,12/28/2016,,50.99,1,50.99,,,160811,HOME,SOFT HOME
11447380,709271000000,1317629028,11/27/2016,,51.29,2,102.58,,,160811,HOME,SOFT HOME
11344082,709271000000,1314732387,11/26/2016,12/19/2016,45.99,1,45.99,1,45.99,160811,HOME,SOFT HOME
11401515,709271000000,1203669354,5/27/2016,,48.44,1,48.44,,,160811,HOME,SOFT HOME
11401515,709271000000,1205186354,04-06-2016,,36.79,1,36.79,,,160811,HOME,SOFT HOME
11623638,47596142424,1350441399,12/19/2016,12/22/2016,46.74,4,186.96,2,93.48,152434,HOME,SOFT HOME
11623638,47596142424,1332424722,06-12-2016,,41.25,2,82.5,,,152434,HOME,SOFT HOME
10359073,85447003876,1207461569,6/17/2016,,9.99,2,19.98,,,156331,CENTER CORE,INTIMATE APPAREL/HOSIERY
10359073,85447003876,1185433976,2/23/2016,,16.99,2,33.98,,,156331,CENTER CORE,INTIMATE APPAREL/HOSIERY
14478367,91709537645,1376752941,1/24/2017,05-02-2017,168,1,168,1,168,165881,HOME,SOFT HOME
14067961,91709537645,1214541627,7/24/2016,,76.49,1,76.49,,,165881,HOME,SOFT HOME
14067961,91709537645,1220007156,05-08-2016,,71.99,1,71.99,,,165881,HOME,SOFT HOME
14478367,91709537645,1375446360,1/27/2017,,84.99,1,84.99,,,165881,HOME,SOFT HOME
10456223,92764301875,1357774899,12/27/2016,,79.99,1,79.99,,,165169,HOME,SOFT HOME
15392625,92764301875,1356840480,12/26/2016,01-02-2017,79.99,1,79.99,1,79.99,165169,HOME,SOFT HOME
15392625,92764301875,1354779663,12/25/2016,,79.99,1,79.99,,,165169,HOME,SOFT HOME
15392625,92764301875,1339673052,12-12-2016,,99.99,1,99.99,,,165169,HOME,SOFT HOME
10456223,92764301875,1317243678,11/27/2016,,99.99,1,99.99,,,165169,HOME,SOFT HOME
12162080,20714235888,1185633779,2/25/2016,,22,1,22,,,166936,BEAUTY,COSMETICS
12162080,20714235888,1216263486,7/25/2016,,22,1,22,,,166936,BEAUTY,COSMETICS
11103607,96018059970,1181519485,02-02-2016,,20,1,20,,,178703,BEAUTY,COSMETICS
11103607,96018059970,1200050593,04-05-2016,,20,1,20,,,178703,BEAUTY,COSMETICS
10696725,96018064141,1268897652,10/24/2016,,23,2,46,,,182739,BEAUTY,COSMETICS
10696725,96018064141,1353739782,12/22/2016,,23,1,23,,,182739,BEAUTY,COSMETICS
12374994,773602000000,1266927684,10/22/2016,,28,1,28,,,192752,BEAUTY,COSMETICS
12374994,773602000000,1210729997,09-07-2016,,27,2,54,,,192752,BEAUTY,COSMETICS
12342568,43935770389,1347234342,12/17/2016,12/28/2016,39.5,1,39.5,1,39.5,216278,MENS & KIDS,TOTAL MENS
12342568,43935770389,MM16720190669,12/17/2016,,39.5,1,39.5,,,216278,MENS & KIDS,TOTAL MENS
11784810,729238000000,1210352510,07-07-2016,,18.5,2,37,,,226086,BEAUTY,COSMETICS
11784810,729238000000,1354029987,12/25/2016,,18.5,2,37,,,226086,BEAUTY,COSMETICS
11784810,729238000000,1187511193,09-03-2016,,18.5,2,37,,,226086,BEAUTY,COSMETICS
11784810,729238000000,1265265511,1/24/2017,,18.5,1,18.5,,,226086,BEAUTY,COSMETICS
11784810,729238000000,1335552417,09-12-2016,,15.17,3,45.51,,,226086,BEAUTY,COSMETICS
15301964,11531686212,1185166073,2/20/2016,,13.83,1,13.83,,,230466,MENS & KIDS,TOTAL MENS
15301964,11531686212,1265691069,10/21/2016,,12.59,1,12.59,,,230466,MENS & KIDS,TOTAL MENS
12628180,729239000000,1182410174,07-02-2016,,9.5,1,9.5,,,225829,BEAUTY,COSMETICS
11294427,729239000000,1187907438,12-03-2016,,9.5,4,38,,,225829,BEAUTY,COSMETICS
12628180,729239000000,1300083972,11/16/2016,,9.5,1,9.5,,,225829,BEAUTY,COSMETICS
11294427,729239000000,1215301890,7/21/2016,,9.5,2,19,,,225829,BEAUTY,COSMETICS
12628180,729239000000,1189638136,3/21/2016,,9.5,1,9.5,,,225829,BEAUTY,COSMETICS
14692710,729239000000,1254435448,10-11-2016,,9.5,1,9.5,,,225829,BEAUTY,COSMETICS
12628180,729239000000,1358615562,12/29/2016,,9.5,1,9.5,,,225829,BEAUTY,COSMETICS
12628180,729239000000,1353515694,12/21/2016,,9.5,1,9.5,,,225829,BEAUTY,COSMETICS
11294427,729239000000,1255038697,11-11-2016,,9.5,4,38,,,225829,BEAUTY,COSMETICS
14692710,729239000000,1189277692,3/18/2016,,9.5,1,9.5,,,225829,BEAUTY,COSMETICS
14692710,729239000000,1206722624,6/13/2016,,9.5,1,9.5,,,225829,BEAUTY,COSMETICS
12628180,729239000000,1297256442,11/13/2016,,7.68,2,15.36,,,225829,BEAUTY,COSMETICS
11061265,20714288594,1297962072,11/14/2016,,24.5,1,24.5,,,248407,BEAUTY,COSMETICS
11098278,20714288594,1249150383,9/28/2016,,24.5,1,24.5,,,248407,BEAUTY,COSMETICS
11098278,20714288594,1189698905,3/21/2016,,24,2,48,,,248407,BEAUTY,COSMETICS
10540573,20714288594,1249278477,9/28/2016,,24.5,1,24.5,,,248407,BEAUTY,COSMETICS
10540573,20714288594,1193408449,07-04-2016,,24,2,48,,,248407,BEAUTY,COSMETICS
10540573,20714288594,1248225657,9/28/2016,,24.5,1,24.5,,,248407,BEAUTY,COSMETICS
11061265,20714288594,1192535836,04-04-2016,,24,1,24,,,248407,BEAUTY,COSMETICS
12715059,47852558853,1214290527,7/22/2016,7/30/2016,23,1,23,1,23,238993,MENS & KIDS,TOTAL MENS
12715059,47852558853,1247020590,9/25/2016,,11.99,1,11.99,,,238993,MENS & KIDS,TOTAL MENS
15466151,20714295769,1191705820,3/31/2016,,26.5,1,26.5,,,243620,BEAUTY,COSMETICS
15466151,20714295769,1256699610,05-10-2016,,27,1,27,,,243620,BEAUTY,COSMETICS
13424667,86279008503,1311549066,11/25/2016,,19.99,1,19.99,,,256148,HOME,SOFT HOME
10334302,86279008503,1270611570,10/25/2016,,17.99,1,17.99,,,256148,HOME,SOFT HOME
10334302,86279008503,1270432047,10/25/2016,1/22/2017,17.99,1,17.99,1,17.99,256148,HOME,SOFT HOME
13424667,86279008503,1312566489,11/25/2016,05-01-2017,19.99,1,19.99,1,19.99,256148,HOME,SOFT HOME
12628051,3348900000000,1248781044,9/29/2016,,62,2,124,,,232584,BEAUTY,COSMETICS
12628051,3348900000000,1320992130,11/28/2016,,62,1,62,,,232584,BEAUTY,COSMETICS
13955496,634246000000,1209514773,6/28/2016,07-07-2016,130,1,130,1,130,311421,CENTER CORE,WOMENS SHOES
13955496,634246000000,1208625847,6/24/2016,,130,1,130,,,311421,CENTER CORE,WOMENS SHOES
11141913,882864000000,1324643130,11/30/2016,,56.99,4,227.96,,,291980,HOME,SOFT HOME
11141913,882864000000,1265630584,1/26/2017,,56.99,1,56.99,,,291980,HOME,SOFT HOME
13992884,729239000000,1334761455,08-12-2016,,25.15,1,25.15,,,330435,BEAUTY,COSMETICS
13992884,729239000000,1207955042,6/19/2016,,31,1,31,,,330435,BEAUTY,COSMETICS
13992884,729239000000,1211882073,7/16/2016,,31,1,31,,,330435,BEAUTY,COSMETICS
12031708,736150000000,1218001302,01-08-2016,,25,6,150,,,329000,BEAUTY,COSMETICS
12031708,736150000000,1203479407,5/26/2016,,25,6,150,,,329000,BEAUTY,COSMETICS
11484480,96018118745,1189939638,3/21/2016,,47,1,47,,,329933,BEAUTY,COSMETICS
11484480,96018118745,1288558476,09-11-2016,,47,2,94,,,329933,BEAUTY,COSMETICS
11484480,96018118745,1237133181,08-09-2016,,47,1,47,,,329933,BEAUTY,COSMETICS
14470613,617848000000,1186788585,04-03-2016,10-03-2016,22.47,1,22.47,1,22.47,335440,MENS & KIDS,TOTAL CHILDRENS
14470613,617848000000,1330681701,05-12-2016,11-12-2016,17.49,1,17.49,1,17.49,335440,MENS & KIDS,TOTAL CHILDRENS
11733261,29442084911,1185427306,2/24/2016,,7.37,1,7.37,,,258907,CENTER CORE,INTIMATE APPAREL/HOSIERY
11733261,29442084911,1207756583,6/17/2016,,19.99,2,39.98,,,258907,CENTER CORE,INTIMATE APPAREL/HOSIERY
13611158,691464000000,1370615610,1/14/2017,,125,1,125,,,334741,CENTER CORE,FASHION JEWELRY / WATCHES
13611158,691464000000,1370166630,1/14/2017,,125,1,125,,,334741,CENTER CORE,FASHION JEWELRY / WATCHES
13112967,3605530000000,1325507013,11/30/2016,,36.5,1,36.5,,,348183,BEAUTY,COSMETICS
13112967,3605530000000,1198830780,4/30/2016,,36.5,1,36.5,,,348183,BEAUTY,COSMETICS
14204349,3605980000000,1222957743,11-08-2016,,24,2,48,,,321742,BEAUTY,COSMETICS
14204349,3605980000000,1182127259,06-02-2016,,32,1,32,,,321742,BEAUTY,COSMETICS
11560876,78715500764,1373154123,1/20/2017,01-02-2017,32.3,2,64.6,2,64.6,361259,CENTER CORE,INTIMATE APPAREL/HOSIERY
11560876,78715500764,1376612577,1/27/2017,,16.15,2,32.3,,,361259,CENTER CORE,INTIMATE APPAREL/HOSIERY
11583928,736150000000,1325751000,11/30/2016,,40,2,80,,,328978,BEAUTY,COSMETICS
11583928,736150000000,1197888978,4/25/2016,,40,2,80,,,328978,BEAUTY,COSMETICS
11917993,733004000000,1201873192,5/15/2016,,0,2,55.99,,,343298,HOME,SOFT HOME
11917993,733004000000,1194669384,4/13/2016,,59.49,1,59.49,,,343298,HOME,SOFT HOME
14090220,733002000000,1317912960,11/28/2016,,37.49,2,74.98,,,343308,HOME,SOFT HOME
14090220,733002000000,1316201040,11/27/2016,,67.99,1,67.99,,,343308,HOME,SOFT HOME
10114129,20714324766,1207918825,6/19/2016,,27,2,54,,,373904,BEAUTY,COSMETICS
10114129,20714324766,1365340914,08-01-2017,,27,1,27,,,373904,BEAUTY,COSMETICS
10114129,20714324766,1190024199,3/22/2016,,27,1,27,,,373904,BEAUTY,COSMETICS
13434434,52176021495,1210710537,09-07-2016,7/19/2016,52.13,1,52.13,1,52.13,406144,MENS & KIDS,TOTAL MENS
13434434,52176021495,1229565459,8/23/2016,,49.99,1,49.99,,,406144,MENS & KIDS,TOTAL MENS
11167796,20714395230,1257511194,07-10-2016,,48.5,1,48.5,,,407708,BEAUTY,COSMETICS
11167796,20714395230,1191359920,3/29/2016,,48,1,48,,,407708,BEAUTY,COSMETICS
15726460,37745188472,1202999870,5/25/2016,,57,2,114,,,376840,CENTER CORE,INTIMATE APPAREL/HOSIERY
15726460,37745188472,1202800389,5/20/2016,,57,1,57,,,376840,CENTER CORE,INTIMATE APPAREL/HOSIERY
12447997,83623556901,1199494713,02-05-2016,09-05-2016,14.25,2,42.75,2,42.75,350943,CENTER CORE,INTIMATE APPAREL/HOSIERY
12447997,83623556901,CJ16950730712,09-05-2016,,28.5,1,28.5,,,350943,CENTER CORE,INTIMATE APPAREL/HOSIERY
14887379,37882211033,1198365461,4/27/2016,04-05-2016,10.96,3,32.88,3,32.88,367037,CENTER CORE,INTIMATE APPAREL/HOSIERY
14887379,37882211033,1198722629,4/29/2016,06-05-2016,10.96,3,32.88,3,32.88,367037,CENTER CORE,INTIMATE APPAREL/HOSIERY
14136026,20714325282,1182708014,09-02-2016,,27,1,27,,,312771,BEAUTY,COSMETICS
14136026,20714325282,1205906241,08-06-2016,,27,1,27,,,312771,BEAUTY,COSMETICS
11716561,86694966587,1203003373,5/23/2016,,7.98,1,7.98,,,445210,MENS & KIDS,TOTAL CHILDRENS
11716561,86694966587,1259579103,10-10-2016,,7.98,1,7.98,,,445210,MENS & KIDS,TOTAL CHILDRENS
11534082,20714425920,1198933864,4/29/2016,,17.5,2,35,,,454077,BEAUTY,COSMETICS
11534082,20714425920,1248474789,9/28/2016,,18,1,18,,,454077,BEAUTY,COSMETICS
10603901,20714425913,1189931127,3/22/2016,,17.5,1,17.5,,,454077,BEAUTY,COSMETICS
12373125,20714425913,1265882311,1/30/2017,,18,1,18,,,454077,BEAUTY,COSMETICS
10603901,20714425913,1256855001,04-10-2016,,18,1,18,,,454077,BEAUTY,COSMETICS
11222581,20714425913,1346926173,12/16/2016,,18,2,36,,,454077,BEAUTY,COSMETICS
12373125,20714425913,1181705632,04-02-2016,,17.5,1,17.5,,,454077,BEAUTY,COSMETICS
11222581,20714425913,1247406222,9/25/2016,,18,3,54,,,454077,BEAUTY,COSMETICS
12373125,20714425913,1349102922,12/18/2016,,18,1,18,,,454077,BEAUTY,COSMETICS
10934766,26865721836,1260710598,12-10-2016,10/25/2016,31.19,1,31.19,1,26.79,435865,HOME,SOFT HOME
10934766,26865721836,1233878619,02-09-2016,,26.79,2,53.58,,,435865,HOME,SOFT HOME
10934766,26865721836,1259935228,11/18/2016,,26.79,1,26.79,,,435865,HOME,SOFT HOME
10934766,26865721836,1264212804,10/19/2016,02-01-2017,26.79,1,26.79,1,26.79,435865,HOME,SOFT HOME
10561165,29408394351,1191728201,01-04-2016,,19.98,1,19.98,,,399320,READY TO WEAR,SPECIAL SIZES
10561165,29408394351,1210461279,06-07-2016,,19.99,2,39.98,,,399320,READY TO WEAR,SPECIAL SIZES
11762952,611318000000,1263767668,1/17/2017,,33.74,1,33.74,,,446984,MENS & KIDS,TOTAL MENS
11762952,611318000000,1357657419,12/27/2016,1/16/2017,31.99,2,63.98,2,63.98,446984,MENS & KIDS,TOTAL MENS
15175056,883049000000,1322434353,11/30/2016,12/17/2016,327.99,1,327.99,1,327.99,393916,HOME,SOFT HOME
15175056,883049000000,1319864019,11/28/2016,,327.99,1,327.99,,,393916,HOME,SOFT HOME
14140557,733002000000,1312777137,11/25/2016,,67.99,1,67.99,,,340590,HOME,SOFT HOME
14140557,733002000000,1211842091,7/16/2016,,84.99,1,84.99,,,340590,HOME,SOFT HOME
14159892,602004000000,1262926494,10/17/2016,,31,1,31,,,477513,BEAUTY,COSMETICS
14159892,602004000000,1233210342,01-09-2016,,31,1,31,,,477513,BEAUTY,COSMETICS
13441444,80225258226,1197747797,4/24/2016,,27,1,27,,,458541,CENTER CORE,INTIMATE APPAREL/HOSIERY
13441444,80225258226,1344267918,12/15/2016,,27,1,27,,,458541,CENTER CORE,INTIMATE APPAREL/HOSIERY
13178465,20714302573,1185362819,2/22/2016,,53,1,53,,,466543,BEAUTY,COSMETICS
11125533,20714302573,1185563859,2/23/2016,,53,1,53,,,466543,BEAUTY,COSMETICS
11125533,20714302573,1227129180,8/19/2016,,53,1,53,,,466543,BEAUTY,COSMETICS
13178465,20714302573,1261797312,10/16/2016,,53,1,53,,,466543,BEAUTY,COSMETICS
11274953,20714302573,1192877822,05-04-2016,,53,1,53,,,466543,BEAUTY,COSMETICS
11274953,20714302573,1241391162,9/17/2016,,43,1,43,,,466543,BEAUTY,COSMETICS
13178465,20714302573,1221596466,10-08-2016,,53,1,53,,,466543,BEAUTY,COSMETICS
